Origin,Destination,Data,Oi,Dj,Dij,Offset,beta,OrigAT11,OrigAT12,OrigAT13,OrigAT21,OrigAT22,OrigAT31,OrigAT32,OrigAT33,OrigAT34,DestAT11,DestAT12,DestAT13,DestAT21,DestAT22,DestAT31,DestAT32,DestAT33,DestAT34,Oi2007,Dj2007
AT21,AT21,0,4897,4117,9.999999999999994e-301,9.999999999999994e-301,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5012,4354
AT21,AT22,1608,4897,8634,92.407958,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5012,9069
AT21,AT31,328,4897,8193,151.77715700000002,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5012,8577
AT21,AT32,317,4897,4902,92.894408,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5012,4963
AT21,AT33,469,4897,3952,194.851669,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5012,3923
AT21,AT34,114,4897,1910,306.105825,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5012,2026
AT22,AT11,762,8487,5146,132.00748000000002,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8811,5452
AT22,AT12,1110,8487,25741,129.878172,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8811,27169
AT22,AT13,2973,8487,26980,158.630661,1.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8811,28710
AT22,AT21,1252,8487,4117,92.407958,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8811,4354
AT22,AT22,0,8487,8634,9.999999999999994e-301,9.999999999999994e-301,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8811,9069
AT22,AT31,1081,8487,8193,124.563096,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8811,8577
AT22,AT32,622,8487,4902,122.433524,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8811,4963
AT22,AT33,425,8487,3952,261.893783,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8811,3923
AT22,AT34,262,8487,1910,376.34667,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8811,2026
AT31,AT11,196,10638,5146,214.51181400000002,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11349,5452
AT31,AT12,2027,10638,25741,140.706671,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11349,27169
AT31,AT13,3498,10638,26980,186.420738,1.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11349,28710
AT31,AT21,346,10638,4117,151.77715700000002,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11349,4354
AT31,AT22,1332,10638,8634,124.563096,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11349,9069
AT31,AT31,0,10638,8193,9.999999999999994e-301,9.999999999999994e-301,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11349,8577
AT31,AT32,2144,10638,4902,81.753652,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11349,4963
AT31,AT33,821,10638,3952,208.45638300000002,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11349,3923
AT31,AT34,274,10638,1910,314.793199,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11349,2026
AT32,AT11,49,5790,5146,246.933305,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6021,5452
AT32,AT12,378,5790,25741,201.232355,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6021,27169
AT32,AT13,1349,5790,26980,244.10830499999997,1.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6021,28710
AT32,AT21,310,5790,4117,92.894408,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6021,4354
AT32,AT22,851,5790,8634,122.433524,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6021,9069
AT32,AT31,2117,5790,8193,81.753652,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6021,8577
AT32,AT32,0,5790,4902,9.999999999999994e-301,9.999999999999994e-301,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6021,4963
AT32,AT33,630,5790,3952,145.076472,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6021,3923
AT32,AT34,106,5790,1910,258.591197,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6021,2026
AT33,AT11,87,4341,5146,390.85611,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4477,5452
AT33,AT12,424,4341,25741,343.50075,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4477,27169
AT33,AT13,978,4341,26980,387.61776000000003,1.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4477,28710
AT33,AT21,490,4341,4117,194.851669,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4477,4354
AT33,AT22,670,4341,8634,261.893783,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4477,9069
AT33,AT31,577,4341,8193,208.45638300000002,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4477,8577
AT33,AT32,546,4341,4902,145.076472,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4477,4963
AT33,AT33,0,4341,3952,9.999999999999994e-301,9.999999999999994e-301,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4477,3923
AT33,AT34,569,4341,1910,114.46325,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4477,2026
AT34,AT11,33,2184,5146,505.08953899999995,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2275,5452
AT34,AT12,128,2184,25741,453.515594,1.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2275,27169
AT34,AT13,643,2184,26980,498.40715199999994,1.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2275,28710
AT34,AT21,154,2184,4117,306.105825,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2275,4354
AT34,AT22,328,2184,8634,376.34667,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2275,9069
AT34,AT31,199,2184,8193,314.793199,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2275,8577
AT34,AT32,112,2184,4902,258.591197,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2275,4963
AT34,AT33,587,2184,3952,114.46325,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2275,3923
AT34,AT34,0,2184,1910,9.999999999999994e-301,9.999999999999994e-301,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2275,2026
